time,x,y,z,radius
8740.0,-298.9079348931841,325.0,-330.91912512716175,227.5
8739.5,-298.7517564034816,325.0,-330.7629466374592,227.5
8739.0,-298.5955779137791,325.0,-330.6067681477567,227.5
8738.5,-298.43939942407656,325.0,-330.4505896580542,227.5
8738.0,-298.28322093437407,325.0,-330.2944111683517,227.5
8737.5,-298.12704244467153,325.0,-330.13823267864916,227.5
8737.0,-297.970863954969,325.0,-329.9820541889466,227.5
8736.5,-297.8146854652665,325.0,-329.82587569924414,227.5
8736.0,-297.65850697556397,325.0,-329.6696972095416,227.5
8735.5,-297.5023284858615,325.0,-329.5135187198391,227.5
8735.0,-297.34614999615894,325.0,-329.3573402301366,227.5
8734.5,-297.18997150645646,325.0,-329.2011617404341,227.5
8734.0,-297.0337930167539,325.0,-329.04498325073155,227.5
8733.5,-296.8776145270514,325.0,-328.888804761029,227.5
8733.0,-296.7214360373489,325.0,-328.7326262713265,227.5
8732.5,-296.56525754764635,325.0,-328.576447781624,227.5
8732.0,-296.40907905794387,325.0,-328.4202692919215,227.5
8731.5,-296.25290056824133,325.0,-328.26409080221896,227.5
8731.0,-296.0967220785388,325.0,-328.1079123125164,227.5
8730.5,-295.9405435888363,325.0,-327.95173382281394,227.5
8730.0,-295.78436509913377,325.0,-327.7955553331114,227.5
8729.5,-295.6281866094313,325.0,-327.6393768434089,227.5
8729.0,-295.47200811972874,325.0,-327.48319835370637,227.5
8728.5,-295.3158296300262,325.0,-327.32701986400383,227.5
8728.0,-295.1596511403237,325.0,-327.17084137430135,227.5
8727.5,-295.0034726506212,325.0,-327.0146628845988,227.5
8727.0,-294.8472941609187,325.0,-326.8584843948963,227.5
8726.5,-294.69111567121615,325.0,-326.7023059051938,227.5
8726.0,-294.5349371815136,325.0,-326.54612741549124,227.5
8725.5,-294.37875869181113,325.0,-326.38994892578876,227.5
8725.0,-294.2225802021086,325.0,-326.2337704360862,227.5
8724.5,-294.0664017124061,325.0,-326.07759194638373,227.5
8724.0,-293.91022322270356,325.0,-325.9214134566812,227.5
8723.5,-293.7540447330011,325.0,-325.7652349669787,227.5
8723.0,-293.59786624329854,325.0,-325.60905647727617,227.5
8722.5,-293.441687753596,325.0,-325.45287798757363,227.5
8722.0,-293.2855092638935,325.0,-325.29669949787115,227.5
8721.5,-293.129330774191,325.0,-325.1405210081686,227.5
8721.0,-292.9731522844885,325.0,-324.9843425184661,227.5
8720.5,-292.81697379478595,325.0,-324.8281640287636,227.5
8720.0,-292.6607953050834,325.0,-324.67198553906104,227.5
8719.5,-292.5046168153809,325.0,-324.51580704935856,227.5
8719.0,-292.3484383256784,325.0,-324.359628559656,227.5
8718.5,-292.1922598359759,325.0,-324.20345006995353,227.5
8718.0,-292.03608134627336,325.0,-324.047271580251,227.5
8717.5,-291.8799028565708,325.0,-323.89109309054845,227.5
8717.0,-291.72372436686834,325.0,-323.73491460084597,227.5
8716.5,-291.5675458771658,325.0,-323.5787361111434,227.5
8716.0,-291.4113673874633,325.0,-323.42255762144094,227.5
8715.5,-291.2551888977608,325.0,-323.2663791317384,227.5
8715.0,-291.09901040805823,325.0,-323.11020064203586,227.5
8714.5,-290.94283191835575,325.0,-322.9540221523334,227.5
8714.0,-290.7866534286532,325.0,-322.79784366263084,227.5
8713.5,-290.6304749389507,325.0,-322.64166517292836,227.5
8713.0,-290.4742964492482,325.0,-322.4854866832258,227.5
8712.5,-290.3181179595457,325.0,-322.32930819352333,227.5
8712.0,-290.16193946984316,325.0,-322.1731297038208,227.5
8711.5,-290.0057609801406,325.0,-322.01695121411825,227.5
8711.0,-289.84958249043814,325.0,-321.86077272441577,227.5
8710.5,-289.6934040007356,325.0,-321.7045942347132,227.5
8710.0,-289.5372255110331,325.0,-321.54841574501074,227.5
8709.5,-289.3810470213306,325.0,-321.3922372553082,227.5
8709.0,-289.22486853162803,325.0,-321.23605876560566,227.5
8708.5,-289.06869004192555,325.0,-321.0798802759032,227.5
8708.0,-288.912511552223,325.0,-320.92370178620064,227.5
8707.5,-288.7563330625205,325.0,-320.76752329649815,227.5
8707.0,-288.600154572818,325.0,-320.6113448067956,227.5
8706.5,-288.44397608311544,325.0,-320.4551663170931,227.5
8706.0,-288.28779759341296,325.0,-320.2989878273906,227.5
