t,x,y,z,radius
0.0,3420.0,325.0,500.0,227.5
0.5,3419.5005962414084,325.0,499.9755892256493,227.5
1.0,3419.0011924828164,325.0,499.9511784512986,227.5
1.5,3418.5017887242248,325.0,499.92676767694786,227.5
2.0,3418.0023849656327,325.0,499.90235690259715,227.5
2.5,3417.502981207041,325.0,499.87794612824644,227.5
3.0,3417.0035774484495,325.0,499.85353535389567,227.5
3.5,3416.5041736898575,325.0,499.82912457954495,227.5
4.0,3416.004769931266,325.0,499.80471380519424,227.5
4.5,3415.505366172674,325.0,499.7803030308435,227.5
5.0,3415.005962414082,325.0,499.7558922564928,227.5
5.5,3414.5065586554906,325.0,499.7314814821421,227.5
6.0,3414.0071548968986,325.0,499.7070707077914,227.5
6.5,3413.507751138307,325.0,499.6826599334407,227.5
7.0,3413.008347379715,325.0,499.65824915908996,227.5
7.5,3412.5089436211233,325.0,499.63383838473925,227.5
8.0,3412.0095398625317,325.0,499.6094276103885,227.5
8.5,3411.5101361039397,325.0,499.58501683603777,227.5
9.0,3411.010732345348,325.0,499.56060606168705,227.5
9.5,3410.511328586756,325.0,499.53619528733634,227.5
10.0,3410.0119248281644,325.0,499.5117845129856,227.5
10.5,3409.512521069573,325.0,499.4873737386349,227.5
11.0,3409.0131173109808,325.0,499.4629629642842,227.5
11.5,3408.513713552389,325.0,499.4385521899335,227.5
12.0,3408.014309793797,325.0,499.4141414155828,227.5
12.5,3407.5149060352055,325.0,499.38973064123206,227.5
13.0,3407.0155022766135,325.0,499.3653198668813,227.5
13.5,3406.516098518022,325.0,499.3409090925306,227.5
14.0,3406.0166947594303,325.0,499.31649831817987,227.5
14.5,3405.517291000838,325.0,499.29208754382915,227.5
15.0,3405.0178872422466,325.0,499.26767676947844,227.5
15.5,3404.5184834836546,325.0,499.24326599512773,227.5
16.0,3404.019079725063,325.0,499.218855220777,227.5
16.5,3403.5196759664714,325.0,499.1944444464263,227.5
17.0,3403.0202722078793,325.0,499.1700336720756,227.5
17.5,3402.5208684492877,325.0,499.1456228977249,227.5
18.0,3402.0214646906957,325.0,499.12121212337416,227.5
18.5,3401.522060932104,325.0,499.0968013490234,227.5
19.0,3401.0226571735125,325.0,499.0723905746727,227.5
19.5,3400.5232534149204,325.0,499.04797980032197,227.5
20.0,3400.023849656329,325.0,499.02356902597126,227.5
20.5,3399.5244458977368,325.0,498.99915825162054,227.5
21.0,3399.025042139145,325.0,498.97474747726983,227.5
21.5,3398.5256383805536,325.0,498.9503367029191,227.5
22.0,3398.0262346219615,325.0,498.9259259285684,227.5
22.5,3397.52683086337,325.0,498.9015151542177,227.5
23.0,3397.027427104778,325.0,498.877104379867,227.5
23.5,3396.5280233461863,325.0,498.8526936055162,227.5
24.0,3396.0286195875947,325.0,498.8282828311655,227.5
24.5,3395.5292158290026,325.0,498.8038720568148,227.5
25.0,3395.029812070411,325.0,498.77946128246407,227.5
25.5,3394.530408311819,325.0,498.75505050811336,227.5
26.0,3394.0310045532274,325.0,498.73063973376264,227.5
26.5,3393.531600794636,325.0,498.70622895941193,227.5
27.0,3393.0321970360437,325.0,498.6818181850612,227.5
27.5,3392.532793277452,325.0,498.6574074107105,227.5
28.0,3392.03338951886,325.0,498.6329966363598,227.5
28.5,3391.5339857602685,325.0,498.608585862009,227.5
29.0,3391.034582001677,325.0,498.5841750876583,227.5
29.5,3390.535178243085,325.0,498.5597643133076,227.5
30.0,3390.0357744844932,325.0,498.5353535389569,227.5
30.5,3389.536370725901,325.0,498.51094276460617,227.5
31.0,3389.0369669673096,325.0,498.48653199025546,227.5
31.5,3388.537563208718,325.0,498.46212121590474,227.5
32.0,3388.038159450126,325.0,498.43771044155403,227.5
32.5,3387.5387556915343,325.0,498.4132996672033,227.5
33.0,3387.0393519329423,325.0,498.3888888928526,227.5
33.5,3386.5399481743507,325.0,498.3644781185019,227.5
34.0,3386.0405444157586,325.0,498.3400673441511,227.5
34.5,3385.541140657167,325.0,498.3156565698004,227.5
35.0,3385.0417368985754,325.0,498.2912457954497,227.5
35.5,3384.5423331399834,325.0,498.266835021099,227.5
36.0,3384.042929381392,325.0,498.24242424674827,227.5
36.5,3383.5435256227997,325.0,498.21801347239756,227.5
37.0,3383.044121864208,325.0,498.19360269804685,227.5
37.5,3382.5447181056165,325.0,498.16919192369613,227.5
38.0,3382.0453143470245,325.0,498.1447811493454,227.5
38.5,3381.545910588433,325.0,498.1203703749947,227.5
39.0,3381.046506829841,325.0,498.09595960064394,227.5
39.5,3380.5471030712492,325.0,498.0715488262932,227.5
