t,x,y,z
0,-1490,15.0,260
0.1,-1490,17.7,260
0.2,-1490,20.4,260
0.3,-1490,23.1,260
0.4,-1490,25.8,260
0.5,-1490,28.5,260
0.6,-1490,31.2,260
0.7,-1490,33.900000000000006,260
0.8,-1490,36.6,260
0.9,-1490,39.3,260
1.0,-1490,42.0,260
1.1,-1490,44.7,260
1.2,-1490,47.4,260
1.3,-1490,50.1,260
1.4,-1490,52.800000000000004,260
1.5,-1490,55.5,260
1.6,-1490,58.2,260
1.7,-1490,60.900000000000006,260
1.8,-1490,63.6,260
1.9,-1490,66.3,260
2.0,-1490,69.0,260
2.1,-1490,71.69999999999999,260
2.2,-1490,74.4,260
2.3,-1490,77.1,260
2.4,-1490,79.8,260
2.5,-1490,82.5,260
2.6,-1490,85.2,260
2.7,-1490,87.9,260
2.8,-1490,90.60000000000001,260
2.9,-1490,93.3,260
3.0,-1490,96.0,260
3.1,-1490,98.7,260
3.2,-1490,101.4,260
3.3,-1490,104.10000000000001,260
3.4,-1490,106.80000000000001,260
3.5,-1490,109.5,260
3.6,-1490,112.2,260
3.7,-1490,114.9,260
3.8,-1490,117.6,260
3.9,-1490,120.3,260
4.0,-1490,123.0,260
4.1,-1490,125.69999999999999,260
4.2,-1490,128.39999999999998,260
4.3,-1490,131.1,260
4.4,-1490,133.8,260
4.5,-1490,136.5,260
4.6,-1490,139.2,260
4.7,-1490,141.89999999999998,260
4.8,-1490,144.6,260
4.9,-1490,147.3,260
5.0,-1490.0,150,260.0
5.1,-1489.0,150,260.03473227206945
5.2,-1488.0,150,260.06946454413895
5.3,-1487.0,150,260.1041968162084
5.4,-1486.0,150,260.13892908827785
5.5,-1485.0,150,260.1736613603473
5.6,-1484.0,150,260.2083936324168
5.7,-1483.0,150,260.24312590448625
5.8,-1482.0,150,260.2778581765557
5.9,-1481.0,150,260.3125904486252
6.0,-1480.0,150,260.34732272069465
6.1,-1479.0,150,260.3820549927641
6.2,-1478.0,150,260.4167872648336
6.3,-1477.0,150,260.45151953690305
6.4,-1476.0,150,260.4862518089725
6.5,-1475.0,150,260.52098408104195
6.6,-1474.0,150,260.55571635311145
6.7,-1473.0,150,260.5904486251809
6.8,-1472.0,150,260.62518089725035
6.9,-1471.0,150,260.65991316931985
7.0,-1470.0,150,260.6946454413893
7.1,-1469.0,150,260.72937771345875
7.2,-1468.0,150,260.7641099855282
7.3,-1467.0,150,260.7988422575977
7.4,-1466.0,150,260.83357452966715
7.5,-1465.0,150,260.8683068017366
7.6,-1464.0,150,260.9030390738061
7.7,-1463.0,150,260.93777134587555
7.8,-1462.0,150,260.972503617945
7.9,-1461.0,150,261.0072358900145
8.0,-1460.0,150,261.04196816208395
8.1,-1459.0,150,261.0767004341534
8.2,-1458.0,150,261.11143270622284
8.3,-1457.0,150,261.14616497829235
8.4,-1456.0,150,261.1808972503618
8.5,-1455.0,150,261.21562952243124
8.6,-1454.0,150,261.25036179450075
8.7,-1453.0,150,261.2850940665702
8.8,-1452.0,150,261.31982633863964
8.9,-1451.0,150,261.3545586107091
9.0,-1450.0,150,261.3892908827786
9.1,-1449.0,150,261.42402315484804
9.2,-1448.0,150,261.4587554269175
9.3,-1447.0,150,261.493487698987
9.4,-1446.0,150,261.52821997105644
9.5,-1445.0,150,261.5629522431259
9.6,-1444.0,150,261.5976845151954
9.7,-1443.0,150,261.63241678726484
9.8,-1442.0,150,261.6671490593343
9.9,-1441.0,150,261.70188133140374
10.0,-1440.0,150,261.73661360347324
10.1,-1439.0,150,261.7713458755427
10.2,-1438.0,150,261.80607814761214
10.3,-1437.0,150,261.84081041968165
10.4,-1436.0,150,261.8755426917511
10.5,-1435.0,150,261.91027496382054
10.6,-1434.0,150,261.94500723589
10.7,-1433.0,150,261.9797395079595
10.8,-1432.0,150,262.01447178002894
10.9,-1431.0,150,262.0492040520984
11.0,-1430.0,150,262.0839363241679
11.1,-1429.0,150,262.11866859623734
11.2,-1428.0,150,262.1534008683068
11.3,-1427.0,150,262.1881331403763
11.4,-1426.0,150,262.22286541244574
11.5,-1425.0,150,262.2575976845152
11.6,-1424.0,150,262.29232995658464
11.7,-1423.0,150,262.32706222865414
11.8,-1422.0,150,262.3617945007236
11.9,-1421.0,150,262.39652677279304
12.0,-1420.0,150,262.43125904486254
12.1,-1419.0,150,262.465991316932
12.2,-1418.0,150,262.50072358900144
12.3,-1417.0,150,262.5354558610709
12.4,-1416.0,150,262.5701881331404
12.5,-1415.0,150,262.60492040520984
12.6,-1414.0,150,262.6396526772793
12.7,-1413.0,150,262.6743849493488
12.8,-1412.0,150,262.70911722141824
12.9,-1411.0,150,262.7438494934877
13.0,-1410.0,150,262.7785817655572
13.1,-1409.0,150,262.81331403762664
13.2,-1408.0,150,262.8480463096961
13.3,-1407.0,150,262.88277858176554
13.4,-1406.0,150,262.91751085383504
13.5,-1405.0,150,262.9522431259045
13.6,-1404.0,150,262.98697539797394
13.7,-1403.0,150,263.02170767004344
13.8,-1402.0,150,263.0564399421129
13.9,-1401.0,150,263.09117221418234
14.0,-1400.0,150,263.1259044862518
14.1,-1399.0,150,263.1606367583213
14.2,-1398.0,150,263.19536903039074
14.3,-1397.0,150,263.2301013024602
14.4,-1396.0,150,263.2648335745297
14.5,-1395.0,150,263.29956584659914
14.6,-1394.0,150,263.3342981186686
14.7,-1393.0,150,263.36903039073803
14.8,-1392.0,150,263.40376266280754
14.9,-1391.0,150,263.438494934877
15.0,-1390.0,150,263.47322720694643
15.1,-1389.0,150,263.50795947901594
15.2,-1388.0,150,263.5426917510854
15.3,-1387.0,150,263.57742402315483
15.4,-1386.0,150,263.61215629522434
15.5,-1385.0,150,263.6468885672938
15.6,-1384.0,150,263.68162083936323
15.7,-1383.0,150,263.7163531114327
15.8,-1382.0,150,263.7510853835022
15.9,-1381.0,150,263.78581765557163
16.0,-1380.0,150,263.8205499276411
16.1,-1379.0,150,263.8552821997106
16.2,-1378.0,150,263.89001447178003
16.3,-1377.0,150,263.9247467438495
16.4,-1376.0,150,263.95947901591893
16.5,-1375.0,150,263.99421128798843
16.6,-1374.0,150,264.0289435600579
16.7,-1373.0,150,264.06367583212733
16.8,-1372.0,150,264.09840810419684
16.9,-1371.0,150,264.1331403762663
17.0,-1370.0,150,264.16787264833573
17.1,-1369.0,150,264.20260492040524
17.2,-1368.0,150,264.2373371924747
17.3,-1367.0,150,264.27206946454413
17.4,-1366.0,150,264.3068017366136
17.5,-1365.0,150,264.3415340086831
17.6,-1364.0,150,264.37626628075253
17.7,-1363.0,150,264.410998552822
17.8,-1362.0,150,264.4457308248915
17.9,-1361.0,150,264.48046309696093
18.0,-1360.0,150,264.5151953690304
18.1,-1359.0,150,264.5499276410998
18.2,-1358.0,150,264.58465991316933
18.3,-1357.0,150,264.6193921852388
18.4,-1356.0,150,264.6541244573082
18.5,-1355.0,150,264.68885672937773
18.6,-1354.0,150,264.7235890014472
18.7,-1353.0,150,264.75832127351663
18.8,-1352.0,150,264.79305354558613
18.9,-1351.0,150,264.8277858176556
19.0,-1350.0,150,264.86251808972503
19.1,-1349.0,150,264.8972503617945
19.2,-1348.0,150,264.931982633864
19.3,-1347.0,150,264.96671490593343
19.4,-1346.0,150,265.0014471780029
19.5,-1345.0,150,265.0361794500724
19.6,-1344.0,150,265.07091172214183
19.7,-1343.0,150,265.1056439942113
19.8,-1342.0,150,265.1403762662807
19.9,-1341.0,150,265.17510853835023
20.0,-1340.0,150,265.2098408104197
20.1,-1339.0,150,265.2445730824891
20.2,-1338.0,150,265.27930535455863
20.3,-1337.0,150,265.3140376266281
20.4,-1336.0,150,265.3487698986975
20.5,-1335.0,150,265.38350217076703
20.6,-1334.0,150,265.4182344428365
20.7,-1333.0,150,265.4529667149059
20.8,-1332.0,150,265.4876989869754
20.9,-1331.0,150,265.5224312590449
21.0,-1330.0,150,265.5571635311143
21.1,-1329.0,150,265.5918958031838
21.2,-1328.0,150,265.6266280752533
21.3,-1327.0,150,265.6613603473227
21.4,-1326.0,150,265.6960926193922
21.5,-1325.0,150,265.7308248914616
21.6,-1324.0,150,265.7655571635311
21.7,-1323.0,150,265.8002894356006
21.8,-1322.0,150,265.83502170767
21.9,-1321.0,150,265.8697539797395
22.0,-1320.0,150,265.904486251809
22.1,-1319.0,150,265.9392185238784
22.2,-1318.0,150,265.9739507959479
22.3,-1317.0,150,266.0086830680174
22.4,-1316.0,150,266.0434153400868
22.5,-1315.0,150,266.0781476121563
22.6,-1314.0,150,266.1128798842258
22.7,-1313.0,150,266.1476121562952
22.8,-1312.0,150,266.1823444283647
22.9,-1311.0,150,266.2170767004342
23.0,-1310.0,150,266.2518089725036
23.1,-1309.0,150,266.2865412445731
23.2,-1308.0,150,266.3212735166425
23.3,-1307.0,150,266.356005788712
23.4,-1306.0,150,266.3907380607815
23.5,-1305.0,150,266.4254703328509
23.6,-1304.0,150,266.4602026049204
23.7,-1303.0,150,266.4949348769899
23.8,-1302.0,150,266.5296671490593
23.9,-1301.0,150,266.5643994211288
24.0,-1300.0,150,266.5991316931983
24.1,-1299.0,150,266.6338639652677
24.2,-1298.0,150,266.66859623733717
24.3,-1297.0,150,266.7033285094067
24.4,-1296.0,150,266.7380607814761
24.5,-1295.0,150,266.77279305354557
24.6,-1294.0,150,266.8075253256151
24.7,-1293.0,150,266.8422575976845
24.8,-1292.0,150,266.87698986975397
24.9,-1291.0,150,266.9117221418234
25.0,-1290.0,150,266.9464544138929
25.1,-1289.0,150,266.98118668596237
25.2,-1288.0,150,267.0159189580318
25.3,-1287.0,150,267.0506512301013
25.4,-1286.0,150,267.08538350217077
25.5,-1285.0,150,267.1201157742402
25.6,-1284.0,150,267.1548480463097
25.7,-1283.0,150,267.18958031837917
25.8,-1282.0,150,267.2243125904486
25.9,-1281.0,150,267.25904486251807
26.0,-1280.0,150,267.2937771345876
26.1,-1279.0,150,267.328509406657
26.2,-1278.0,150,267.36324167872647
26.3,-1277.0,150,267.397973950796
26.4,-1276.0,150,267.4327062228654
26.5,-1275.0,150,267.46743849493487
26.6,-1274.0,150,267.5021707670043
26.7,-1273.0,150,267.5369030390738
26.8,-1272.0,150,267.57163531114327
26.9,-1271.0,150,267.6063675832127
27.0,-1270.0,150,267.6410998552822
27.1,-1269.0,150,267.67583212735167
27.2,-1268.0,150,267.7105643994211
27.3,-1267.0,150,267.7452966714906
27.4,-1266.0,150,267.78002894356007
27.5,-1265.0,150,267.8147612156295
27.6,-1264.0,150,267.84949348769896
27.7,-1263.0,150,267.88422575976847
27.8,-1262.0,150,267.9189580318379
27.9,-1261.0,150,267.95369030390736
28.0,-1260.0,150,267.98842257597687
28.1,-1259.0,150,268.0231548480463
28.2,-1258.0,150,268.05788712011577
28.3,-1257.0,150,268.0926193921852
28.4,-1256.0,150,268.1273516642547
28.5,-1255.0,150,268.16208393632417
28.6,-1254.0,150,268.1968162083936
28.7,-1253.0,150,268.2315484804631
28.8,-1252.0,150,268.26628075253257
28.9,-1251.0,150,268.301013024602
29.0,-1250.0,150,268.3357452966715
29.1,-1249.0,150,268.37047756874097
29.2,-1248.0,150,268.4052098408104
29.3,-1247.0,150,268.43994211287986
29.4,-1246.0,150,268.47467438494937
29.5,-1245.0,150,268.5094066570188
29.6,-1244.0,150,268.54413892908826
29.7,-1243.0,150,268.57887120115777
29.8,-1242.0,150,268.6136034732272
29.9,-1241.0,150,268.64833574529666
30.0,-1240.0,150,268.6830680173661
30.1,-1239.0,150,268.7178002894356
30.2,-1238.0,150,268.75253256150506
30.3,-1237.0,150,268.7872648335745
30.4,-1236.0,150,268.821997105644
30.5,-1235.0,150,268.85672937771346
30.6,-1234.0,150,268.8914616497829
30.7,-1233.0,150,268.92619392185236
30.8,-1232.0,150,268.96092619392186
30.9,-1231.0,150,268.9956584659913
31.0,-1230.0,150,269.03039073806076
31.1,-1229.0,150,269.06512301013026
31.2,-1228.0,150,269.0998552821997
31.3,-1227.0,150,269.13458755426916
31.4,-1226.0,150,269.16931982633866
31.5,-1225.0,150,269.2040520984081
31.6,-1224.0,150,269.23878437047756
31.7,-1223.0,150,269.273516642547
31.8,-1222.0,150,269.3082489146165
31.9,-1221.0,150,269.34298118668596
32.0,-1220.0,150,269.3777134587554
32.1,-1219.0,150,269.4124457308249
32.2,-1218.0,150,269.44717800289436
32.3,-1217.0,150,269.4819102749638
